City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Coro,VE,11.4045,-69.6734,87.93,63,21,22.97,few clouds
79,Annau,TM,37.8876,58.516,85.5,25,0,4.61,haze
80,Muromtsevo,RU,56.3724,75.2418,55.22,84,3,5.93,clear sky
81,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,18.41,scattered clouds
82,Dobele,LV,56.625,23.2786,55.13,76,98,5.5,overcast clouds
83,Port Elizabeth,ZA,-33.918,25.5701,68.09,36,0,9.26,clear sky
84,Jamestown,US,42.097,-79.2353,78.39,76,75,12.66,broken clouds
85,Qaanaaq,GL,77.484,-69.3632,46.98,57,100,3.4,overcast clouds
86,Mattru,SL,7.6244,-11.8332,73.87,97,99,5.03,light rain
87,Vila Velha,BR,-20.3297,-40.2925,80.55,74,20,14.97,few clouds
88,Saldanha,ZA,-33.0117,17.9442,56.95,92,0,7.74,clear sky
89,Clarksburg,US,39.2807,-80.3445,84.31,78,100,8.05,overcast clouds
90,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.26,39,0,4.97,clear sky
91,Sao Jose De Piranhas,BR,-7.1206,-38.5019,87.69,36,17,10.96,few clouds
92,Agdas,AZ,40.65,47.4761,87.46,36,0,6.89,clear sky
93,Sept-Iles,CA,50.2001,-66.3821,78.8,52,75,8.05,broken clouds
94,Igrim,RU,63.1906,64.4162,60.62,57,36,2.93,scattered clouds
95,Parana,AR,-31.732,-60.5238,60.55,45,0,12.3,clear sky
96,Shahjahanpur,IN,27.8833,79.9167,92.37,49,30,8.3,scattered clouds
97,Kabwe,ZM,-14.4469,28.4464,56.93,56,16,8.28,few clouds
98,Mutoko,ZW,-17.397,32.2268,57.52,57,100,3.91,overcast clouds
99,Pangnirtung,CA,66.1451,-65.7125,50.68,67,48,3.51,scattered clouds
100,Rabat,MA,33.9911,-6.8401,73.47,88,75,8.05,broken clouds
101,Severnyy,RU,50.677,36.5532,59.04,77,0,4.47,clear sky
102,Codrington,AU,-38.2667,141.9667,49.28,71,100,17.6,overcast clouds
103,Den Helder,NL,52.9599,4.7593,73.02,60,20,3.44,few clouds
104,The Valley,AI,18.217,-63.0578,87.66,66,20,18.41,few clouds
105,Vangaindrano,MG,-23.35,47.6,65.59,88,99,6.8,moderate rain
