City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Najran,SA,85.77,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
192,Libreville,GA,75.42,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
193,Sao Jose Da Coroa Grande,BR,76.73,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
194,Duki,PK,78.19,few clouds,30.1541,68.5728,ماسٹر رشید مرحوم
195,Birjand,IR,77.43,clear sky,32.8663,59.2211,Birjand Tourist Hotel
196,Grand Falls,CA,84.0,scattered clouds,47.0461,-67.7418,Hill Top Motel & Restaurant
199,Sur,OM,86.23,light rain,22.5667,59.5289,Sur Plaza Hotel
202,Sechura,PE,75.16,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
203,Waddan,LY,86.34,clear sky,29.1614,16.139,محل الشريف محمد العايب
207,Bud,US,75.22,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
214,Qunduz,AF,89.98,clear sky,36.729,68.857,Spin Zar cotton company
216,Yarmouth,US,86.14,few clouds,41.7057,-70.2286,Blue Rock Resort
217,Gainsborough,GB,84.47,clear sky,53.3833,-0.7667,Hickman Hill Hotel
218,Maine-Soroa,NE,75.31,overcast clouds,13.2114,12.0241,Complexe
219,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
221,Marsh Harbour,BS,83.95,broken clouds,26.5412,-77.0636,Abaco Beach Resort
226,La Primavera,CO,84.96,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
227,Thompson,CA,80.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
228,Dwarka,IN,81.63,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
232,Carballo,ES,83.62,broken clouds,43.213,-8.691,Pazo do Souto
237,Havelock,US,89.56,few clouds,34.8791,-76.9013,Sherwood Motel
238,Constantine,DZ,85.41,clear sky,36.365,6.6147,Grand Hotel Cirta
240,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Narayanpet,IN,75.52,overcast clouds,16.7333,77.5,Vasundra tiffins
243,Camamu,BR,76.82,scattered clouds,-13.9447,-39.1039,Hotel Rio Acarai
245,Dosso,NE,85.03,broken clouds,13.049,3.1937,Hotel Toubal
247,Tallahassee,US,89.01,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
252,Matara,LK,78.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
256,Mangan,IN,76.69,overcast clouds,27.5167,88.5333,Hotel Mout View
263,Rio De Janeiro,BR,89.6,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
269,Anastacio,BR,79.18,overcast clouds,-20.4836,-55.8069,HOTEL ARARAS
